# German-Esperanto translations created from the Universal dictionary at 2011-08-27T09:43:20-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 vespero 	 time 
 Muster ; Vorbild ; Vorlage 	 desegno 	 object 
 Mutter 	 patrino 	 family 
 Möbel 	 mebloj 	 house 
 Nachbar 	 najbaro 	 family 
 Nachmittag 	 posttagmezo 	 time 
 Nachrichten 	 novaĵo 	 society 
 Nacht ; Nachtzeit 	 nokto 	 nature 
 Nadel 	 kudrilo 	 medicine 
 Nadel ; Stecknadel 	 pinglo 	 object 
 Nadelstich 	 suturero 	 medicine 
 Nagel 	 najlo 	 object 
 Nagel 	 ungo 	 anatomy 
 Name 	 nomo 	 linguistics 
 Nase 	 nazo 	 anatomy 
 Nation 	 nacio 	 society 
 Natur 	 naturo 	 nature 
 Nein ; nein ; nicht 	 ne 	 abstract 
 Nerv 	 nervo 	 anatomy 
 Netz 	 reto 	 material 
 Nichts ; Null ; nichts 	 nenio 	 mathematics 
 Nord ; Norden 	 nordo 	 logistics 
 Note 	 tononomo 	 art 
 Note ; Zensur 	 noto 	 education 
 November 	 novembro 	 time 
 Nummer ; Zahl ; nummer ; zahl 	 nombro 	 linguistics 
 Oberfläche 	 surfaco 	 mathematics 
 Ohr 	 orelo 	 anatomy 
 Oktober 	 oktobro 	 time 
 Operation 	 operacio 	 abstract 
 Orange ; Apfelsine 	 oranĝo 	 food 
 Orchester 	 orkestro 	 art 
 Orden 	 ordeno 	 society 
 Original 	 originalo 	 object 
 Orthographie ; Rechtschreibung ; Schreibweise 	 ortografio 	 linguistics 
 Osten 	 oriento 	 logistics 
 Paar 	 paro 	 number 
 Papier 	 papero 	 material 
 Park 	 parko 	 city 
 Party 	 festo 	 society 
 Patient 	 paciento 	 medicine 
 Pause 	 pauxzo 	 abstract 
 Pause ; Unterbrechung 	 paŭzo 	 time 
 Peitsche 	 vipo 	 object 
 Periode 	 epoko 	 time 
 Pferd ; Ross 	 cxevalo 	 animal 
 Pflicht ; Verpflichtung 	 devo 	 abstract 
 Phase ; Stufe 	 fazo 	 time 
 Pilot 	 piloto 	 profession 
 Plan 	 plano 	 abstract 
 Platz 	 loko 	 abstract 
 Poem 	 poemo 	 art 
 Poesie 	 poezio 	 art 
 Pokal 	 pokalo 	 object 
 Politik 	 politiko 	 society 
 Politiker 	 politikisto 	 profession 
 Polizei 	 polico 	 society 
 Polizist 	 policano 	 profession 
 Porto 	 afranko 	 object 
 Post 	 poŝto 	 communication 
 Praxis 	 praktiko 	 art 
 Preis 	 kosto 	 business 
 Preis 	 prezo 	 transport 
 Problem 	 problemo 	 mathematics 
 Problem ; Schwierigkeit 	 problemo 	 abstract 
 Produkt ; Erzeugnis 	 produkto 	 object 
 Produktion 	 produktado 	 abstract 
 Programm 	 programo 	 abstract 
 Projekt ; Aufgabe 	 tasko 	 abstract 
 Prozent ; Prozente 	 elcento 	 mathematics 
 Präsident 	 prezidento 	 profession 
 Pulver ; Staub 	 polvo 	 material 
 Pumpe 	 pumpilo 	 device 
 Punkt 	 punkto 	 linguistics 
 Quadrat 	 kvadrato 	 mathematics 
 Quadrat 	 kvadrato 	 mathematics 
 Qualität 	 kvalito 	 abstract 
 Rad 	 rado 	 object 
 Rahmen 	 framo 	 object 
 Rat 	 konsilo 	 communication 
 Reaktion 	 reago 	 abstract 
 Rechner 	 kalkulilo 	 device 
 Recht 	 juro 	 society 
 Regal 	 bretaro 	 house 
 Regel 	 regulo 	 linguistics 
 Regen 	 pluvo 	 nature 
 Regen 	 pluvo 	 nature 
 Regierung ; Regime 	 regado 	 society 
 Reichweite 	 atingodistanco 	 abstract 
 Reichweite ; Rahmen ; Bereich ; Geltungsbereich ; Umfang 	 amplekso 	 abstract 
 Reihenfolge 	 ordo 	 linguistics 
 Reis 	 rizo 	 food 
 Reis 	 rizo 	 food 
 Reisepass 	 pasporto 	 object 
 Rekord 	 rekordo 	 abstract 
 Religion 	 religio 	 society 
 Rest 	 ripozo 	 abstract 
 Rest ; Relikt ; Überrest ; Rückstand 	 resto 	 business 
 Restaurant 	 restoracio 	 city 
 Rhythmus 	 ritmo 	 art 
 Richter 	 juĝisto 	 profession 
 Richtung 	 direkto 	 mathematics 
 Ring 	 ringo 	 clothes 
 Rock 	 jupo 	 clothes 
 Rohre ; Rohrleitung 	 tubaro 	 object 
 Rolle 	 bobeno 	 object 
 Rumpf 	 torso 	 anatomy 
 Rücken 	 dorso 	 anatomy 
 Saison 	 sezono 	 nature 
 Salat 	 salato 	 food 
 Salz 	 salo 	 food 
 Same ; Samen 	 spermo 	 food 
 Samstag 	 sabato 	 time 
 Sand 	 sablo 	 material 
 Sandwich 	 sandvicxo 	 food 
 Satz 	 frazo 	 linguistics 
 Satz 	 kompleto 	 mathematics 
 Satz ; Set 	 kompleto 	 sports 
 Sauce ; Soße 	 sauxco 	 food 
 Schaf 	 ŝafo 	 animal 
 Schalenfrucht 	 nukso 	 food 
 Schauspielerin 	 aktorino 	 profession 
 Schauspielhaus ; Theater 	 teatro 	 city 
 Scheck 	 cxeko 	 business 
 Schere 	 tondilo 	 object 
 Schiff 	 ŝipo 	 transport 
 Schlaf ; Schlummer 	 dormado 	 nature 
 Schlafzimmer 	 dormcxambro 	 house 
 Schlag 	 frapo 	 abstract 
 Schlag ; Hieb 	 bato 	 abstract 
 Schlange 	 serpento 	 animal 
 Schleudern 	 glito 	 abstract 
 Schloss ; Schloß 	 seruro 	 house 
 Schlüssel 	 ŝlosilo 	 house 
 Schmerz 	 doloro 	 medicine 
 Schnabel 	 beko 	 anatomy 
 Schnee 	 negxo 	 nature 
 Schnee 	 neĝo 	 nature 
 Schock 	 ŝoko 	 abstract 
 Schokolade 	 ĉokolado 	 food 
 Schrank 	 sxranko 	 house 
 Schraubenmutter 	 boltingo 	 object 
 Schreibtisch 	 skribotablo 	 house 
 Schrift 	 skribo 	 linguistics 
 Schriftsteller 	 verkisto 	 profession 
 Schriftzeichen 	 litero 	 linguistics 
 Schriftzeichen ; Zeichen 	 karaktro 	 linguistics 
 Schritt 	 pasxo 	 mathematics 
 Schublade 	 tirkesto 	 house 
 Schuh 	 ŝuo 	 clothes 
 Schule 	 lernejo 	 city 
 Schwanz 	 vosto 	 anatomy 
 Schwein 	 porko 	 animal 
 Schwester 	 fratino 	 family 
 Schwierigkeit 	 malfacileco 	 abstract 
 Schüler ; Student 	 lernanto 	 profession 
 See 	 lago 	 nature 
 Segel 	 velo 	 object 
 Segmentierung ; Teilung 	 divido 	 mathematics 
 Seide 	 silko 	 material 
 Seife 	 sapo 	 material 
 Seil ; Tau ; Strang 	 ŝnuro 	 transport 
 Seite 	 latero 	 mathematics 
 Seite 	 paĝo 	 object 
 Sekretär 	 sekretario 	 profession 
 Sekunde 	 sekundo 	 time 
 Sex 	 sekso 	 relations 
 Silber 	 arĝento 	 material 
 Socke 	 ŝtrumpeto 	 clothes 
 Sohn 	 filo 	 family 
 Soldat 	 soldato 	 profession 
 Sommer ; Sommerzeit 	 somero 	 nature 
 Song 	 kanzono 	 art 
 Sonne 	 suno 	 nature 
 Sonntag 	 dimancxo 	 time 
 Sorge ; Pflege ; Behandlung ; Sorgfalt 	 flegado 	 abstract 
 Spanien 	 Hispanujo 	 country 
 Spiegel 	 spegulo 	 house 
 Spiel 	 ludo 	 mathematics 
 Spiel 	 ludo 	 sports 
 Spiel 	 matcxo 	 sports 
 Spieler 	 ludanto 	 sports 
 Sprache 	 lingvo 	 communication 
 Sprache ; Rede 	 parolado 	 linguistics 
 Sprung 	 salto 	 abstract 
 Spültisch 	 lavkuvo 	 house 
 Staat 	 ŝtato 	 society 
 Staat 	 ŝtato 	 society 
 Stadt 	 urbo 	 society 
 Stahl 	 ŝtalo 	 material 
 Station 	 stacio 	 society 
 Staub 	 polvo 	 material 
 Stelle ; Position ; Stellung 	 pozicio 	 linguistics 
 Stellvertreter 	 reprezentanto 	 profession 
 Stempel 	 stampilo 	 object 
 Stern 	 astro 	 nature 
 Stiefel 	 boto 	 clothes 
 Stil 	 stilo 	 art 
 Stille 	 kvieteco 	 abstract 
 Stimme 	 vocxo 	 communication 
 Stirn 	 frunto 	 anatomy 
 Stock 	 bastono 	 object 
 Stoff 	 sxtofo 	 material 
 Strand 	 strando 	 nature 
 Straße 	 strato 	 city 
 Straße ; Strecke ; Weg 	 vojo 	 transport 
 Streit ; Kontroverse ; Anfechtung ; Auseinandersetzung 	 disputo 	 mathematics 
 Strom 	 fluo 	 nature 
 Strom 	 fluo 	 nature 
 Struktur 	 strukturo 	 linguistics 
 Strömung 	 fluo 	 nature 
 Stufe ; Treppe ; Treppenstufe 	 sxtupo 	 house 
 Stuhl 	 seĝo 	 house 
 Stunde 	 horo 	 time 
 Stängel 	 tigo 	 nature 
 Stück 	 peco 	 abstract 
 Stück ; Teil 	 peco 	 object 
 Stückchen 	 peco 	 object 
 Subjekt ; Thema 	 subjekto 	 linguistics 
 Summe 	 sumo 	 mathematics 
 Supermarkt 	 superbazaro 	 city 
 Suppe 	 supo 	 food 
 Sänger 	 kantisto 	 profession 
 Säure 	 acido 	 material 
 Süd ; Süden 	 sudo 	 logistics 
 Süßigkeit 	 dolĉeco 	 food 
 Tabelle 	 tabelo 	 object 
 Tasse 	 taso 	 food 
 Taste 	 klavo 	 object 
 Tat 	 ago 	 abstract 
 Tatsache 	 fakto 	 abstract 
 Technologie 	 inĝenierarto 	 abstract 
 Technologie 	 teknologio 	 society 
 Tee 	 teo 	 food 
 Teil 	 parto 	 society 
 Teller 	 telero 	 food 
 Tendenz ; Trend 	 tendenco 	 abstract 
 Tennis 	 teniso 	 sports 
 Teppich ; Vorleger 	 tapiŝo 	 house 
 Testament 	 testamento 	 society 
 Theorie 	 teorio 	 education 
 Tinte 	 inko 	 material 
 Tisch 	 tablo 	 house 
 Titel 	 titolo 	 society 
 Tochter 	 filino 	 family 
 Tod 	 morto 	 nature 
 Toilette 	 necesejo 	 house 
 Tomate 	 tomato 	 food 
 Ton 	 sono 	 abstract 
 Ton 	 sono 	 nature 
 Tor 	 golo 	 sports 
 Tor ; Pforte 	 pordego 	 house 
 Transport 	 transporto 	 transport 
 Treffen 	 renkontigxo 	 communication 
 Tritt 	 piedbato 	 abstract 
 Tropfen 	 guto 	 object 
 Tschechische Republik 	 Ĉeĥio 	 country 
 Tür 	 pordo 	 house 
 Ufer 	 bordo 	 nature 
 Uhr 	 horlogxo 	 device 
 Uhr 	 horloĝo 	 object 
 Umgebung 	 cxirkauxajxo 	 nature 
 Unfall ; Unglück 	 akcidento 	 transport 
 Ungewissheit ; Zweifel 	 dubo 	 communication 
 Universität 	 universitato 	 city 
 Unterhaltung ; Belustigung ; Vergnügung 	 distraĵo 	 art 
 Unterschied 	 diferenco 	 abstract 
 Urlaub 	 forpermeso 	 society 
 Vater 	 patro 	 family 
 Verabredung 	 rendevuo 	 relations 
 Verantwortung 	 respondeco 	 abstract 
 Verein ; Bund ; Einigkeit ; Gewerkschaft ; Union ; Verbindung ; Vereinigung 	 unuiĝo 	 society 
 Vereinigte Staaten 	 Usono 	 country 
 Verfahren ; Prozess ; Prozedur 	 procedo 	 mathematics 
 Vergleich 	 komparo 	 abstract 
 Vergnügen 	 plezuro 	 abstract 
 Verhältnis 	 rilato 	 communication 
 Verkauf ; Vertrieb 	 vendo 	 business 
 Verlust 	 perdo 	 business 
 Vernichtung 	 detruo 	 abstract 
 Versicherung 	 asekuro 	 business 
 Verteidigung ; Abwehr 	 defendo 	 abstract 
 Vertrag ; Kontrakt 	 kontrakto 	 business 
 Verzierung 	 dekoro 	 object 
 Visite 	 vizito 	 abstract 
 Vogel 	 birdo 	 animal 
 Volk ; Leute 	 popolamaso 	 society 
 Vorfall ; Vorkommnis 	 okazo 	 abstract 
 Vorschlag 	 propono 	 abstract 
 Vorschlag 	 propono 	 abstract 
 Vorteil 	 avantagxo 	 abstract 
 Wache 	 gardo 	 profession 
 Wachstum 	 kresko 	 abstract 
 Wahl 	 elekto 	 abstract 
 Wahl 	 elekto 	 mathematics 
 Wasser 	 akvo 	 material 
 Wein 	 vino 	 food 
 Welle 	 ondo 	 nature 
 Welt 	 mondo 	 nature 
 Weltraum 	 kosmo 	 mathematics 
 Wert 	 valoro 	 art 
 Wettbewerb ; Wettkampf 	 konkurado 	 society 
 Wetter 	 vetero 	 nature 
 Wille 	 volo 	 abstract 
 Wind 	 vento 	 nature 
 Winkel 	 angulo 	 mathematics 
 Winter 	 vintro 	 nature 
 Wirtschaft ; Wirtschaftssystem 	 ekonomio 	 business 
 Wissenschaft 	 scienco 	 society 
 Wissenschaftler 	 scienculo 	 profession 
 Woche 	 semajno 	 time 
 Wochenende 	 semajnfino 	 time 
 Wolke 	 nubo 	 nature 
 Wolle 	 lano 	 material 
 Wort 	 vorto 	 linguistics 
 Wunsch 	 deziro 	 abstract 
 Wurf 	 ĵeto 	 sports 
 Wurzel 	 radiko 	 mathematics 
 Wurzel 	 radiko 	 nature 
 Zahn 	 dento 	 anatomy 
 Zehe 	 piedfingro 	 anatomy 
 Zeit 	 tempo 	 physics 
 Zeitalter ; Alter 	 epoko 	 time 
 Zeitschrift 	 revuo 	 object 
 Zeitung 	 ĵurnalo 	 object 
 Zelle 	 cxelo 	 society 
 Zelle 	 ĉelo 	 anatomy 
 Zentrale 	 telefoncentralo 	 society 
 Zimmer 	 ĉambro 	 house 
 Zins 	 interezo 	 business 
 Zucker 	 sukero 	 food 
 Zug 	 trajno 	 transport 
 Zukunft 	 estonteco 	 time 
 Zunahme ; Zuwachs 	 pliigo 	 abstract 
 Zunge 	 lango 	 anatomy 
 Zustand 	 stato 	 mathematics 
 Zustand ; Status 	 kondiĉo 	 abstract 
 Zündholz 	 alumeto 	 object 
 abfahren ; verlassen ; weggehen ; abgehen 	 foriri 	 verb 
 abgesondert ; getrennt ; separat 	 aparta 	 adjective 
 ablehnen 	 rifuzi 	 verb 
 abrunden 	 rondigi 	 verb 
 abschließend ; final ; terminal ; endgültig 	 fina 	 adjective 
 abschneiden 	 trancxi 	 verb 
 abtrocknen ; trocknen 	 sekigi 	 verb 
 abwärts 	 malsupren 	 adverb 
 abändern ; verändern ; ändern 	 ŝanĝi 	 verb 
 acht 	 ok 	 number 
 achte 	 oka 	 number 
 achten ; beachten ; respektieren ; ehren 	 honori 	 verb 
 achtzig 	 okdek 	 number 
 addieren ; zurechnen 	 aldoni 	 verb 
 akzeptieren ; annehmen ; entgegennehmen 	 akcepti 	 verb 
 alle ; jede ; jeder 	 cxiu 	 adjective 
 allein 	 sole 	 adverb 
 alles 	 cxio 	 adjective 
 alles 	 cxio 	 pronoun 
 allgemein 	 gxenerala 	 adjective 
 als 	 ol 	 conjunction 
 also ; daher 	 do 	 adverb 
 alt 	 maljuna 	 adjective 
 an ; eingeschaltet 	 sur 	 adjective 
 anbieten ; bieten 	 oferti 	 verb 
 ander ; sonstig ; andere ; anders 	 alia 	 adjective 
 andere ; anders 	 alia 	 adjective 
 anders ; ungleich 	 diferenca 	 adjective 
 anfangen ; beginnen 	 komenciĝi 	 verb 
 anfeuchten 	 malsekigi 	 verb 
 angreifen ; attackieren 	 ataki 	 verb 
 anhaben ; tragen 	 porti 	 verb 
 anhalten ; halten ; stoppen 	 haltigi 	 verb 
 anheben ; erhöhen ; hochheben 	 levi 	 verb 
 ankommen ; anreisen ; eintreffen 	 alveni 	 verb 
 anordnen ; befehlen 	 ordoni 	 verb 
 ansagen ; annoncieren 	 anonci 	 verb 
 antworten ; reagieren 	 respondi 	 verb 
 anwachsen ; wachsen 	 kreski 	 verb 
 anwenden ; verwenden ; benutzen 	 uzi 	 verb 
 anzweifeln ; bezweifeln ; zweifeln 	 dubi 	 verb 
 arbeitslos 	 senlabora 	 adjective 
 argumentieren 	 argumenti 	 verb 
 arm ; armselig ; bedauernswert ; dürftig ; erbärmlich ; kläglich 	 malriĉa 	 adjective 
 assistieren ; helfen 	 helpi 	 verb 
 auch 	 ankaŭ 	 adverb 
 auf 	 al 	 preposition 
 auffangen ; fangen 	 kapti 	 verb 
 aufmachen ; öffnen 	 malfermi 	 verb 
 aufnehmen ; aufzeichnen 	 registri 	 verb 
 aufrichtig 	 sincera 	 adjective 
 aufspulen ; aufwickeln ; aufrollen 	 bobeni 	 verb 
 aus 	 de 	 preposition 
 ausdrucken ; drucken 	 presi 	 verb 
 ausgezeichnet 	 bonega 	 adjective 
 ausgleichen 	 niveli 	 verb 
 ausländisch ; fremd 	 eksterlanda 	 adjective 
 aussehen 	 aspekti 	 verb 
 auswählen ; wählen 	 elekti 	 verb 
 automatisch 	 aŭtomata 	 adjective 
 außen ; außer ; außerhalb ; draußen 	 ekster 	 adverb 
 außergewöhnlich ; ungewöhnlich ; besondere ; speziell 	 speciala 	 adjective 
 badezimmer 	 bancxambro 	 house 
 bald 	 baldaux 	 adverb 
 barbarisch 	 barbara 	 adjective 
 bauen 	 konstrui 	 verb 
 beabsichtigen ; vorhaben 	 intenci 	 verb 
 beachten 	 atenti 	 verb 
 beantragen ; vorschlagen 	 proponi 	 verb 
 bearbeiten ; verarbeiten 	 prilabori 	 verb 
 bedeutungsvoll ; signifikant ; wichtig 	 signifoplena 	 adjective 
 beenden ; fertig stellen ; fertigstellen ; vollenden ; endigen ; erledigen 	 fini 	 verb 
 befreien ; erlösen ; freilassen ; freisetzen 	 liberigi 	 verb 
 befürchten ; fürchten 	 timi 	 verb 
 begehren ; wollen 	 voli 	 verb 
 begrenzen ; beschränken ; einschränken ; limitieren 	 limigi 	 verb 
 begründen ; gründen ; stiften ; einrichten ; aufbauen 	 fondi 	 verb 
 beherrschen ; kontrollieren ; steuern ; führen 	 komandi 	 verb 
 beide 	 ambaux 	 adjective 
 beißen 	 mordi 	 verb 
 beklagenswert ; kläglich 	 lamentinda 	 adjective 
 bekommen 	 akiri 	 verb 
 bekommen 	 akiri 	 verb 
 bekommen 	 iĝi 	 verb 
 bekommen ; empfangen ; erhalten 	 ricevi 	 verb 
 benötigen ; brauchen ; fordern ; verlangen ; bedürfen 	 necesi 	 verb 
 bereit 	 preta 	 adjective 
 bereits 	 jam 	 adverb 
 berichten 	 riporti 	 verb 
 beschreiben 	 priskribi 	 verb 
 beschuldigen 	 akuzi 	 verb 
 beschädigen 	 difekti 	 verb 
 besiegen ; schlagen 	 venki 	 verb 
 besitzen ; eignen 	 havi 	 verb 
 besonders ; zumal 	 speciale 	 adverb 
 besuchen 	 viziti 	 verb 
 betiteln ; bezeichnen 	 titoli 	 verb 
 betrachten 	 konsideri 	 verb 
 bewegen 	 movi 	 verb 
 beweisen 	 montri 	 verb 
 bewirken 	 emigi 	 verb 
 bewusst 	 konscia 	 adjective 
 bezahlen ; zahlen 	 pagi 	 verb 
 beziffern ; nummerieren 	 kalkuli 	 verb 
 billig 	 malmultekosta 	 adjective 
 bis 	 gxis 	 conjunction 
 bisweilen ; manchmal 	 fojfoje 	 adverb 
 bitter ; herb 	 amara 	 adjective 
 blau 	 blua 	 color 
 bleiben 	 resti 	 verb 
 braun 	 bruna 	 color 
 brechen ; zerbrechen 	 rompi 	 verb 
 breit ; weit 	 largxa 	 adjective 
 bringen 	 alporti 	 verb 
 brüchig ; gebrechlich ; zerbrechlich 	 fragila 	 adjective 
 brüsk ; schroff 	 bruska 	 adjective 
 chemisch 	 kemia 	 adjective 
 da ; dort 	 tie 	 adverb 
 danken 	 danki 	 verb 
 dann 	 tiam 	 adverb 
 darstellen ; verkörpern ; vorstellen ; vertreten 	 reprezenti 	 verb 
 debattieren ; bereden ; besprechen ; diskutieren 	 diskuti 	 verb 
 dennoch ; aber ; nichtsdestotrotz ; nichtsdestoweniger ; gleichwohl ; trotzdem 	 malgrauxe 	 adverb 
 der ; die 	 la 	 article 
 derart ; derartig ; solch 	 tia 	 adverb 
 derb ; grob 	 kruda 	 adjective 
 derb ; rau ; roh 	 kruda 	 adjective 
 derselbe 	 sama 	 adjective 
 deutlich ; klar 	 hela 	 adjective 
 dicht 	 strikta 	 adjective 
 dicht ; dick 	 viskoza 	 adjective 
 dick ; gras 	 dika 	 adjective 
 dick ; stark 	 dika 	 adjective 
 diese 	 tiu cxi 	 pronoun 
 direkt ; gerade 	 rekta 	 adjective 
 direkt ; gerade ; geradewegs 	 rekte 	 adverb 
 dose 	 ladskatolo 	 object 
 drehen 	 turni 	 verb 
 drei 	 tri 	 number 
 dreißig 	 tridek 	 number 
 dritte ; dritter 	 tria 	 mathematics 
 duften ; riechen 	 odori 	 verb 
 dumm 	 stulta 	 adjective 
 dunkel 	 tenebra 	 adjective 
 durstig 	 soifa 	 adjective 
 dünn 	 maldika 	 adjective 
 eben 	 ebena 	 adjective 
 eben ; flach 	 plata 	 adjective 
 echt ; wahr 	 efektiva 	 adjective 
 ehe ; vor 	 antaux 	 adverb 
 eigen 	 propra 	 adjective 
 ein ; beliebig 	 ajna 	 adjective 
 einfach 	 simpla 	 adjective 
 einmal 	 iam 	 adverb 
 einsam 	 sola 	 adjective 
 einschließen 	 inkluzivi 	 verb 
 einschätzen ; schätzen 	 taksi 	 verb 
 einseifen 	 sapi 	 verb 
 eintreten ; hineingehen ; hineinkommen 	 eniri 	 verb 
 einzeln ; einzelne ; einzig 	 sola 	 adjective 
 elegant 	 eleganta 	 adjective 
 elektrisch ; elektrischer 	 elektra 	 adjective 
 elementar ; fundamental ; primär ; grundlegend ; basisch 	 baza 	 adjective 
 empfinden ; fühlen ; spüren 	 travivi 	 verb 
 enden 	 fini 	 verb 
 eng 	 malvasta 	 adjective 
 entdecken ; enthüllen ; finden 	 trovi 	 verb 
 entfernen ; beseitigen ; wegschaffen 	 elpreni 	 verb 
 entfernt ; fern ; weit 	 fora 	 adjective 
 entgegengesetzt ; gegenüberliegend 	 kontrauxa 	 adjective 
 enthalten 	 enhavi 	 verb 
 enthüllen ; preisgeben 	 riveli 	 verb 
 entlang 	 laux 	 adverb 
 entlassen ; hinauswerfen 	 maldungi 	 verb 
 entscheiden ; bestimmen 	 decidi 	 verb 
 entwerfen 	 plani 	 verb 
 entwickeln 	 evolucii 	 verb 
 er 	 li 	 pronoun 
 erfahren ; geschickt 	 lerta 	 adjective 
 erfolgreich 	 sukcesa 	 adjective 
 erforderlich ; notwendig ; nötig ; unerlässlich 	 necesa 	 adjective 
 erfreuen 	 gxojigi 	 verb 
 erhöhen ; steigern 	 levi 	 verb 
 erklären ; erläutern ; aufklären 	 ekspliki 	 verb 
 erlauben ; gestatten ; gewähren ; zulassen ; ermöglichen 	 permesi 	 verb 
 erleiden ; erdulden 	 suferi 	 verb 
 erlernen ; lernen 	 lerni 	 verb 
 ermutigen 	 kuraĝigi 	 verb 
 ermüdend ; langweilig 	 teda 	 adjective 
 ernst 	 serioza 	 adjective 
 erreichen ; eintreffen 	 gajni 	 verb 
 erreichen ; erzielen 	 atingi 	 verb 
 erschaffen ; erzeugen ; kreieren ; machen 	 fari 	 verb 
 erst ; zunächst ; erstens ; zuerst 	 unue 	 adverb 
 erwarten ; entgegensehen 	 atendi 	 verb 
 erwärmen ; anwärmen ; aufwärmen 	 varmigi 	 verb 
 erziehen ; aufziehen 	 eduki 	 verb 
 es 	 gxin 	 pronoun 
 essen 	 manĝi 	 verb 
 existieren ; bestehen 	 ekzisti 	 verb 
 fallen ; stürzen 	 fali 	 verb 
 falsch ; fehlerhaft 	 malgxusta 	 adjective 
 falsch ; unrichtig ; inkorrekt 	 erara 	 adjective 
 fast 	 preskaux 	 adverb 
 fest ; hart 	 firma 	 adjective 
 fettig ; speckig 	 grasa 	 adjective 
 feucht ; nass 	 malseka 	 adjective 
 feuern ; schießen 	 pafi 	 verb 
 finanziell 	 financa 	 adjective 
 finden 	 trovi 	 verb 
 fliegen 	 flugi 	 verb 
 flüssig 	 likva 	 adjective 
 folgen 	 sekvi 	 verb 
 folgend ; nächste ; nachfolgend ; nachstehend ; nächster 	 venonta 	 adjective 
 fordern ; verlangen 	 peti 	 verb 
 fortsetzen ; weitermachen 	 dauxrigi 	 verb 
 fragen 	 peti 	 verb 
 frei 	 libera 	 adjective 
 frei ; kostenlos ; umsonst 	 senpaga 	 adjective 
 freundlich 	 amika 	 adjective 
 frisch 	 fresxa 	 adjective 
 früh 	 frue 	 adjective 
 früh 	 frue 	 adverb 
 funktionieren ; arbeiten 	 labori 	 verb 
 fähig 	 kapabla 	 adjective 
 fühlen ; tasten 	 palpi 	 verb 
 füllen ; auffüllen 	 plenigi 	 verb 
 fünf 	 kvin 	 number 
 fünfte ; fünfter 	 kvina 	 number 
 fünfzig 	 kvindek 	 number 
 ganz ; gesamt ; gesamter ; völlig 	 totala 	 adjective 
 geben 	 doni 	 verb 
 geduldig 	 pacienca 	 adjective 
 gefährlich 	 danĝera 	 adjective 
 gegeben ; angegeben 	 fiksita 	 adjective 
 gegen 	 kontraux 	 preposition 
 gegenwärtig 	 nuna 	 adjective 
 gegenwärtig ; geläufig ; gängig 	 kuranta 	 adjective 
 gehen 	 marsxi 	 verb 
 gehen ; bewegen sich 	 iri 	 verb 
 gelb 	 flava 	 color 
 gemeinsam 	 komuna 	 adjective 
 genau ; gerade 	 gxuste 	 adverb 
 genießen 	 ĝui 	 verb 
 genug 	 suficxe 	 adverb 
 gerade 	 para 	 adjective 
 geräuschlos ; still 	 senbrua 	 adjective 
 geschlossen ; ungeöffnet 	 fermita 	 adjective 
 gesund 	 salubra 	 adjective 
 gewaltsam 	 perforta 	 adjective 
 gewinnen 	 gajni 	 verb 
 gewiss ; bestimmt ; sicher ; sicherlich 	 certe 	 adverb 
 gewiss ; sicher 	 certa 	 adjective 
 gewöhnlich 	 kutime 	 adverb 
 gewöhnlich 	 ĝenerale 	 adverb 
 glatt 	 glata 	 adjective 
 glauben ; trauen 	 kredi 	 verb 
 gleich 	 egala 	 adjective 
 glücklich 	 bonŝanca 	 adjective 
 glücklich 	 feliĉa 	 adjective 
 golden 	 ora 	 color 
 grau 	 grizo 	 adjective 
 gross 	 alta 	 adjective 
 groß 	 granda 	 adjective 
 groß 	 granda 	 adjective 
 grundlegend 	 kardinala 	 adjective 
 grün 	 verda 	 color 
 gut 	 bone 	 adverb 
 gut ; lieb 	 bona 	 adjective 
 haben 	 havi 	 verb 
 halten 	 teni 	 verb 
 halten ; erhalten 	 konservi 	 verb 
 handeln 	 negoci 	 verb 
 handeln ; sich benehmen ; sich verhalten 	 konduti 	 verb 
 hassen 	 malami 	 verb 
 hauptsächlich 	 majxora 	 adjective 
 heilen ; behandeln 	 trakti 	 verb 
 heiraten 	 edzigxi 	 verb 
 hell ; klar 	 hela 	 adjective 
 herrschen ; regieren 	 regi 	 verb 
