# German-French translations created from the Universal dictionary at 2011-08-27T09:43:09-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 soir 	 time 
 Metro ; U-Bahn 	 métro 	 transport 
 Metropole ; Stadt 	 ville 	 society 
 Milch 	 lait 	 food 
 Milchshake 	 milk-shake 	 food 
 Milieu ; Umgebung ; Umwelt 	 milieu 	 nature 
 Militär 	 armée 	 society 
 Million 	 million 	 number 
 Minister 	 ministre 	 profession 
 Minute 	 minute 	 time 
 Mitglied 	 membre 	 society 
 Mitte ; Mittelpunkt 	 centre 	 mathematics 
 Mitte ; Mittelpunkt ; Zentrum 	 milieu 	 mathematics 
 Mittel ; Mittelwert 	 milieu 	 mathematics 
 Mitternacht 	 minuit 	 time 
 Mittwoch 	 mercredi 	 time 
 Mobiltelefon 	 téléphone cellulaire 	 device 
 Mode 	 mode 	 abstract 
 Modell 	 patron 	 object 
 Moment 	 moment 	 time 
 Monat 	 mois 	 time 
 Monat 	 mois 	 transport 
 Mond 	 lune 	 nature 
 Montag 	 lundi 	 time 
 Morgen 	 demain 	 time 
 Morgen ; Vormittag 	 matin 	 time 
 Motor 	 moteur 	 device 
 Mund 	 bouche 	 anatomy 
 Museum 	 musée 	 city 
 Musik 	 musique 	 art 
 Musikant ; Musiker 	 musicien 	 profession 
 Muskel 	 muscle 	 anatomy 
 Muster ; Paradigma ; Prototyp 	 prototype 	 linguistics 
 Muster ; Vorbild ; Vorlage 	 modèle 	 object 
 Mutter 	 maman 	 family 
 Möbel 	 mobilier 	 house 
 Nachbar 	 voisin 	 family 
 Nachmittag 	 après-midi 	 time 
 Nachrichten 	 nouvelles 	 society 
 Nacht ; Nachtzeit 	 nuit 	 nature 
 Nadel 	 aiguille 	 medicine 
 Nadel ; Stecknadel 	 épingle 	 object 
 Nadelstich 	 point 	 medicine 
 Nagel 	 clou 	 object 
 Nagel 	 ongle 	 anatomy 
 Name 	 nom 	 linguistics 
 Nase 	 nez 	 anatomy 
 Nation 	 nation 	 society 
 Natur 	 nature 	 nature 
 Nein ; nein ; nicht 	 non 	 abstract 
 Nerv 	 nerf 	 anatomy 
 Netz 	 filet 	 material 
 Nichts ; Null ; nichts 	 rien 	 mathematics 
 Nord ; Norden 	 nord 	 logistics 
 Note 	 note 	 art 
 Note ; Zensur 	 note 	 education 
 November 	 novembre 	 time 
 Nummer ; Zahl ; nummer ; zahl 	 nombre 	 linguistics 
 Oberfläche 	 surface 	 mathematics 
 Oberherrschaft 	 domination 	 society 
 Ohr 	 oreille 	 anatomy 
 Oktober 	 octobre 	 time 
 Operation 	 opération 	 abstract 
 Operation 	 opération 	 medicine 
 Orange ; Apfelsine 	 orange 	 food 
 Orchester 	 orchestre 	 art 
 Orden 	 ordre 	 society 
 Original 	 original 	 object 
 Orthographie ; Rechtschreibung ; Schreibweise 	 orthographe 	 linguistics 
 Osten 	 est 	 logistics 
 Paar 	 couple 	 number 
 Papier 	 papier 	 material 
 Park 	 parc 	 city 
 Party 	 partie 	 society 
 Patient 	 patient 	 medicine 
 Pause 	 récréation 	 abstract 
 Pause ; Unterbrechung 	 pause 	 time 
 Peitsche 	 fouet 	 object 
 Periode 	 période 	 time 
 Pferd ; Ross 	 cheval 	 animal 
 Pflicht ; Verpflichtung 	 devoir 	 abstract 
 Phase ; Stufe 	 étape 	 time 
 Pilot 	 pilote 	 profession 
 Plan 	 plan 	 abstract 
 Platz 	 lieu 	 abstract 
 Platz 	 place 	 abstract 
 Poem 	 poème 	 art 
 Poesie 	 poésie 	 art 
 Pokal 	 coupe 	 object 
 Politik 	 politique 	 society 
 Politiker 	 politicien 	 profession 
 Polizei 	 police 	 society 
 Polizist 	 policier 	 profession 
 Porto 	 port 	 object 
 Post 	 poste 	 communication 
 Praxis 	 clientèle 	 art 
 Preis 	 prix 	 business 
 Preis 	 prix 	 transport 
 Preis 	 prix 	 transport 
 Prinzip 	 principe 	 linguistics 
 Problem 	 problème 	 mathematics 
 Problem 	 question 	 communication 
 Problem ; Schwierigkeit 	 problème 	 abstract 
 Produkt ; Erzeugnis 	 produit 	 object 
 Produktion 	 production 	 abstract 
 Programm 	 programme 	 abstract 
 Projekt 	 projet 	 abstract 
 Projekt ; Aufgabe 	 tâche 	 abstract 
 Prozent ; Prozente 	 pourcentage 	 mathematics 
 Präsident 	 président 	 profession 
 Pulver ; Staub 	 poussière 	 material 
 Pumpe 	 pompe 	 device 
 Punkt 	 point 	 linguistics 
 Quadrat 	 carré 	 mathematics 
 Quadrat 	 carré 	 mathematics 
 Qualität 	 qualité 	 abstract 
 Rad 	 roue 	 object 
 Rahmen 	 cadre 	 object 
 Rat 	 conseil 	 communication 
 Reaktion 	 réaction 	 abstract 
 Rechner 	 calculateur 	 device 
 Recht 	 droit 	 society 
 Regal 	 clayette 	 house 
 Regel 	 règlement 	 linguistics 
 Regen 	 pluie 	 nature 
 Regen 	 pluie 	 nature 
 Regierung ; Regime 	 gouvernement 	 society 
 Reichweite ; Rahmen ; Bereich ; Geltungsbereich ; Umfang 	 zone 	 abstract 
 Reihenfolge 	 ordre 	 linguistics 
 Reis 	 riz 	 food 
 Reis 	 riz 	 food 
 Reisepass 	 passeport 	 object 
 Rekord 	 record 	 abstract 
 Religion 	 religion 	 society 
 Rest 	 repos 	 abstract 
 Rest ; Relikt ; Überrest ; Rückstand 	 reste 	 business 
 Restaurant 	 restaurant 	 city 
 Rhythmus 	 rythme 	 art 
 Richter 	 juge 	 profession 
 Richtung 	 direction 	 mathematics 
 Ring 	 anneau 	 clothes 
 Rock 	 jupe 	 clothes 
 Rohre ; Rohrleitung 	 tuyauterie 	 object 
 Rolle 	 rouleau 	 object 
 Ruck 	 secousse 	 transport 
 Rumpf 	 tronc 	 anatomy 
 Russisch 	 russe 	 language 
 Rücken 	 dos 	 anatomy 
 Rückkehr ; Wiederkehr 	 retour 	 abstract 
 Rückseite 	 arrière 	 clothes 
 Saison 	 saison 	 nature 
 Salat 	 salade 	 food 
 Salz 	 sel 	 food 
 Same ; Samen 	 graine 	 food 
 Samstag 	 samedi 	 time 
 Sand 	 sable 	 material 
 Sandwich 	 sandwich 	 food 
 Satz 	 phrase 	 linguistics 
 Satz 	 série 	 mathematics 
 Satz ; Set 	 collection 	 sports 
 Satz ; Tarif 	 cours 	 business 
 Sauce ; Soße 	 sauce 	 food 
 Schaf 	 mouton 	 animal 
 Schalenfrucht 	 fruit sec 	 food 
 Schauspielerin 	 actrice 	 profession 
 Schauspielhaus ; Theater 	 théâtre 	 city 
 Scheck 	 chèque 	 business 
 Schere 	 ciseaux 	 object 
 Schiff 	 navire 	 transport 
 Schlaf ; Schlummer 	 sommeil 	 nature 
 Schlafzimmer 	 chambre à coucher 	 house 
 Schlag 	 coup 	 abstract 
 Schlag ; Hieb 	 coup 	 abstract 
 Schlager 	 succès 	 art 
 Schlange 	 serpent 	 animal 
 Schleudern 	 dérapage 	 abstract 
 Schloss ; Schloß 	 serrure 	 house 
 Schlüssel 	 clé 	 house 
 Schmerz 	 douleur 	 medicine 
 Schnabel 	 bec 	 anatomy 
 Schnee 	 neige 	 nature 
 Schnee 	 neige 	 nature 
 Schnellzug 	 express 	 transport 
 Schnitt 	 coupure 	 abstract 
 Schock 	 choc 	 abstract 
 Schokolade 	 chocolat 	 food 
 Schrank 	 placard 	 house 
 Schraubenmutter 	 écrou 	 object 
 Schreibtisch 	 bureau 	 house 
 Schrift 	 écriture 	 linguistics 
 Schriftsteller 	 écrivain 	 profession 
 Schriftzeichen 	 lettre 	 linguistics 
 Schriftzeichen ; Zeichen 	 caractère 	 linguistics 
 Schritt 	 pas 	 mathematics 
 Schublade 	 tiroir 	 house 
 Schuh 	 chaussure 	 clothes 
 Schule 	 école 	 city 
 Schwanz 	 queue 	 anatomy 
 Schwein 	 porc 	 animal 
 Schwester 	 soeur 	 family 
 Schwierigkeit 	 difficulté 	 abstract 
 Schüler ; Student 	 étudiant 	 profession 
 See 	 lac 	 nature 
 Segel 	 voile 	 object 
 Segmentierung ; Teilung 	 partage 	 mathematics 
 Seide 	 soie 	 material 
 Seife 	 savon 	 material 
 Seil ; Tau ; Strang 	 corde 	 transport 
 Seite 	 côté 	 mathematics 
 Seite 	 page 	 object 
 Sekretär 	 secrétaire 	 profession 
 Sekunde 	 seconde 	 time 
 Serie 	 feuilleton 	 abstract 
 Sex 	 sexe 	 relations 
 Show 	 show 	 abstract 
 Silber 	 argent 	 material 
 Sitz 	 place 	 house 
 Socke 	 chaussette 	 clothes 
 Sohn 	 fils 	 family 
 Soldat 	 militaire 	 profession 
 Sommer ; Sommerzeit 	 été 	 nature 
 Song 	 chanson 	 art 
 Sonne 	 soleil 	 nature 
 Sonntag 	 dimanche 	 time 
 Sorge ; Pflege ; Behandlung ; Sorgfalt 	 souci 	 abstract 
 Spanien 	 Royaume d'Espagne 	 country 
 Spanisch 	 espagnol 	 language 
 Spiegel 	 miroir 	 house 
 Spiel 	 jeu 	 mathematics 
 Spiel 	 jeu 	 sports 
 Spiel 	 partie 	 sports 
 Spieler 	 joueur 	 sports 
 Sprache 	 langage 	 communication 
 Sprache ; Rede 	 langue 	 linguistics 
 Sprung 	 saut 	 abstract 
 Spültisch 	 évier 	 house 
 Staat 	 état 	 society 
 Staat 	 état 	 society 
 Stadt 	 ville 	 society 
 Stahl 	 acier 	 material 
 Standpunkt ; Stellung 	 attitude 	 abstract 
 Station 	 poste 	 society 
 Staub 	 poussière 	 material 
 Stelle ; Position ; Stellung 	 poste 	 linguistics 
 Stellvertreter 	 représentant 	 profession 
 Stempel 	 tampon 	 object 
 Stern 	 étoile 	 nature 
 Stiefel 	 botte 	 clothes 
 Stift 	 pivot 	 object 
 Stil 	 style 	 art 
 Stille 	 silence 	 abstract 
 Stimme 	 voix 	 communication 
 Stirn 	 front 	 anatomy 
 Stock 	 bâton 	 object 
 Stoff 	 étoffe 	 material 
 Strand 	 plage 	 nature 
 Straße 	 route 	 city 
 Straße ; Strecke ; Weg 	 chemin 	 transport 
 Strecke 	 section 	 art 
 Streit ; Kontroverse ; Anfechtung ; Auseinandersetzung 	 discussion 	 mathematics 
 Strom 	 courant 	 nature 
 Strom 	 courant 	 nature 
 Struktur 	 structure 	 linguistics 
 Strömung 	 courant 	 nature 
 Stufe ; Treppe ; Treppenstufe 	 marche 	 house 
 Stuhl 	 chaise 	 house 
 Stunde 	 heure 	 time 
 Stängel 	 tige 	 nature 
 Stück 	 morceau 	 abstract 
 Stück ; Teil 	 morceau 	 object 
 Stückchen 	 copeau 	 object 
 Subjekt ; Thema 	 sujet 	 linguistics 
 Summe 	 montant 	 mathematics 
 Supermarkt 	 supermarché 	 city 
 Suppe 	 soupe 	 food 
 Sänger 	 chanteur 	 profession 
 Säure 	 acide 	 material 
 Süd ; Süden 	 sud 	 logistics 
 Süßigkeit 	 douceur 	 food 
 Tabelle 	 table 	 object 
 Tasse 	 coupe 	 food 
 Taste 	 touche 	 object 
 Tat 	 acte 	 abstract 
 Tatsache 	 fait 	 abstract 
 Technologie 	 technologie 	 abstract 
 Technologie 	 technologie 	 society 
 Tee 	 thé 	 food 
 Teil 	 partie 	 society 
 Teller 	 assiette 	 food 
 Tendenz ; Trend 	 tendance 	 abstract 
 Tennis 	 tennis 	 sports 
 Teppich ; Vorleger 	 tapis 	 house 
 Testament 	 testament 	 society 
 Theorie 	 théorie 	 education 
 Tiefdruckgebiet ; Zyklone 	 dépression 	 nature 
 Tinte 	 encre 	 material 
 Tisch 	 table 	 house 
 Titel 	 titre 	 society 
 Tochter 	 fille 	 family 
 Tod 	 mort 	 nature 
 Tod ; tod 	 déces 	 abstract 
 Toilette 	 toilettes 	 house 
 Tomate 	 tomate 	 food 
 Tomate 	 tomate 	 food 
 Ton 	 audio 	 abstract 
 Ton 	 son 	 nature 
 Tor 	 but 	 sports 
 Tor ; Pforte 	 barrière 	 house 
 Tote 	 mort 	 society 
 Transport 	 transport 	 transport 
 Treffen 	 rencontre 	 communication 
 Tresor 	 coffre 	 object 
 Tritt 	 coup de pied 	 abstract 
 Tropfen 	 goutte 	 object 
 Tschechische Republik 	 République tchèque 	 country 
 Tür 	 porte 	 house 
 Ufer 	 rive 	 nature 
 Uhr 	 horloge 	 device 
 Uhr 	 montre 	 object 
 Umgebung 	 alentours 	 nature 
 Unfall ; Unglück 	 accident 	 transport 
 Ungewissheit ; Zweifel 	 doute 	 communication 
 Universität 	 université 	 city 
 Unterhaltung ; Belustigung ; Vergnügung 	 divertissement 	 art 
 Unterschied 	 différence 	 abstract 
 Urlaub 	 congé 	 society 
 Urlaub ; Ferien 	 vacance 	 travelling 
 Vater 	 papa 	 family 
 Verabredung 	 rendez-vous 	 relations 
 Verantwortung 	 responsabilité 	 abstract 
 Verein ; Bund ; Einigkeit ; Gewerkschaft ; Union ; Verbindung ; Vereinigung 	 union 	 society 
 Vereinigte Staaten 	 États-Unis 	 country 
 Verfahren 	 processus 	 nature 
 Verfahren ; Prozess ; Prozedur 	 méthode 	 mathematics 
 Vergangenheit 	 dernier 	 time 
 Vergleich 	 confrontation 	 abstract 
 Vergnügen 	 plaisir 	 abstract 
 Verhältnis 	 relation 	 communication 
 Verkauf ; Vertrieb 	 vente 	 business 
 Verlust 	 perte 	 business 
 Vernichtung 	 destruction 	 abstract 
 Versicherung 	 assurance 	 business 
 Verteidigung ; Abwehr 	 défense 	 abstract 
 Vertrag ; Kontrakt 	 contrat 	 business 
 Verwandtschaft ; Beziehung ; Relation ; Verhältnis 	 relation 	 society 
 Verzierung 	 ornement 	 object 
 Visite 	 visite 	 abstract 
 Vogel 	 oiseau 	 animal 
 Volk ; Leute 	 peuple 	 society 
 Vorfall ; Vorkommnis 	 événement 	 abstract 
 Vorherrschaft ; Oberherrschaft ; Dominanz 	 autorité 	 abstract 
 Vorschlag 	 proposition 	 abstract 
 Vorschlag 	 proposition 	 abstract 
 Vorteil 	 avantage 	 abstract 
 Wache 	 sentinelle 	 profession 
 Wachstum 	 agrandissement 	 abstract 
 Wahl 	 triage 	 abstract 
 Wahl 	 élection 	 mathematics 
 Wasser 	 eau 	 material 
 Weile 	 temps 	 transport 
 Wein 	 vin 	 food 
 Welle 	 vague 	 nature 
 Welt 	 monde 	 nature 
 Weltraum 	 espace 	 mathematics 
 Wert 	 valeur 	 art 
 Wettbewerb ; Wettkampf 	 concurrence 	 society 
 Wetter 	 temps 	 nature 
 Wille 	 volonté 	 abstract 
 Wille 	 volonté 	 society 
 Wind 	 vent 	 nature 
 Winkel 	 angle 	 mathematics 
 Winter 	 hiver 	 nature 
 Wirtschaft ; Wirtschaftssystem 	 économie 	 business 
 Wissenschaft 	 science 	 society 
 Wissenschaftler 	 scientifique 	 profession 
 Woche 	 semaine 	 time 
 Wochenende 	 weekend 	 time 
 Wolke 	 nuage 	 nature 
 Wolle 	 laine 	 material 
 Wort 	 mot 	 linguistics 
 Wunsch 	 souhait 	 abstract 
 Wurf 	 lancer 	 sports 
 Wurzel 	 racine 	 mathematics 
 Wurzel 	 racine 	 nature 
 Zahn 	 dent 	 anatomy 
 Zehe 	 orteil 	 anatomy 
 Zeichen 	 signe 	 linguistics 
 Zeit 	 temps 	 physics 
 Zeitalter ; Alter 	 âge 	 time 
 Zeitschrift 	 revue 	 object 
 Zeitung 	 journal 	 object 
 Zelle 	 cellule 	 anatomy 
 Zelle 	 cellule 	 society 
 Zentrale 	 central 	 society 
 Zimmer 	 pièce 	 house 
 Zins 	 intérêt 	 business 
 Zittern 	 frisson 	 abstract 
 Zucker 	 sucre 	 food 
 Zug 	 train 	 transport 
 Zukunft 	 futur 	 time 
 Zunahme ; Zuwachs 	 augmentation 	 abstract 
 Zunge 	 langue 	 anatomy 
 Zustand 	 état 	 mathematics 
 Zustand ; Status 	 condition 	 abstract 
 Zündholz 	 allumette 	 object 
 abfahren ; verlassen ; weggehen ; abgehen 	 laisser 	 verb 
 abgesondert ; getrennt ; separat 	 séparée 	 adjective 
 ablehnen 	 refuser 	 verb 
 abrunden 	 arrondir 	 verb 
 abschließend ; final ; terminal ; endgültig 	 définitif 	 adjective 
 abschneiden 	 couper 	 verb 
 abtrocknen ; trocknen 	 essuyer 	 verb 
 abwärts 	 bas 	 adverb 
 abändern ; verändern ; ändern 	 changer 	 verb 
 acht 	 huit 	 number 
 achte 	 huitieme 	 number 
 achten ; beachten ; respektieren ; ehren 	 honorer 	 verb 
 achtzehn 	 dix-huit 	 number 
 achtzig 	 quatre-vingts 	 number 
 addieren ; zurechnen 	 additionner 	 verb 
 akzeptieren ; annehmen ; entgegennehmen 	 accepter 	 verb 
 alle ; jede ; jeder 	 chacun 	 adjective 
 allein 	 seul 	 adverb 
 alles 	 tout 	 adjective 
 alles 	 tout 	 pronoun 
 allgemein 	 général 	 adjective 
 als 	 que 	 conjunction 
 also ; daher 	 donc 	 adverb 
 alt 	 vieux 	 adjective 
 anbieten ; bieten 	 offrir 	 verb 
 ander ; sonstig ; andere ; anders 	 autre 	 adjective 
 andere ; anders 	 autre 	 adjective 
 anders 	 différent 	 adjective 
 anders ; ungleich 	 différent 	 adjective 
 anfangen ; beginnen 	 débuter 	 verb 
 anfeuchten 	 mouiller 	 verb 
 angreifen ; attackieren 	 attaquer 	 verb 
 anhaben ; tragen 	 mettre 	 verb 
 anhalten ; halten ; stoppen 	 arrêter 	 verb 
 anheben ; erhöhen ; hochheben 	 lever 	 verb 
 ankommen ; anreisen ; eintreffen 	 arriver 	 verb 
 anordnen ; befehlen 	 ordonner 	 verb 
 ansagen ; annoncieren 	 annoncer 	 verb 
 anschrauben 	 visser 	 verb 
 antworten ; reagieren 	 répondre 	 verb 
 anwachsen ; wachsen 	 croître 	 verb 
 anwenden ; verwenden ; benutzen 	 utiliser 	 verb 
 anzweifeln ; bezweifeln ; zweifeln 	 douter 	 verb 
 arbeitslos 	 chômeur 	 adjective 
 argumentieren 	 plaider 	 verb 
 arm ; armselig ; bedauernswert ; dürftig ; erbärmlich ; kläglich 	 pauvre 	 adjective 
 assistieren ; helfen 	 soulager 	 verb 
 auch 	 aussi 	 adverb 
 auf 	 contre 	 preposition 
 auffangen ; fangen 	 prendre 	 verb 
 aufmachen ; öffnen 	 ouvrir 	 verb 
 aufnehmen ; aufzeichnen 	 enregistrer 	 verb 
 aufrichtig 	 sincère 	 adjective 
 aufspulen ; aufwickeln ; aufrollen 	 enrouler 	 verb 
 aus 	 de 	 preposition 
 ausdrucken ; drucken 	 imprimer 	 verb 
 ausgezeichnet 	 excellent 	 adjective 
 ausgleichen 	 égaliser 	 verb 
 ausländisch ; fremd 	 étranger 	 adjective 
 aussehen 	 paraître 	 verb 
 auswählen ; wählen 	 choisir 	 verb 
 automatisch 	 automatique 	 adjective 
 außen ; außer ; außerhalb ; draußen 	 dehors 	 adverb 
 außergewöhnlich ; ungewöhnlich ; besondere ; speziell 	 spécial 	 adjective 
 badezimmer 	 salle de bains 	 house 
 bald 	 bientôt 	 adverb 
 barbarisch 	 barbare 	 adjective 
 bauen 	 bâtir 	 verb 
 beabsichtigen ; vorhaben 	 entendre 	 verb 
 beachten 	 attention 	 verb 
 beantragen ; vorschlagen 	 suggérer 	 verb 
 bearbeiten ; verarbeiten 	 traiter 	 verb 
 bedeutungsvoll ; signifikant ; wichtig 	 important 	 adjective 
 beeinflussen 	 affecter 	 verb 
 beenden ; fertig stellen ; fertigstellen ; vollenden ; endigen ; erledigen 	 terminer 	 verb 
 befreien ; erlösen ; freilassen ; freisetzen 	 dégager 	 verb 
 befürchten ; fürchten 	 craindre 	 verb 
 begehren ; wollen 	 vouloir 	 verb 
 begrenzen ; beschränken ; einschränken ; limitieren 	 contenir 	 verb 
 begründen ; gründen ; stiften ; einrichten ; aufbauen 	 établir 	 verb 
 beherrschen ; kontrollieren ; steuern ; führen 	 contrôler 	 verb 
 beide 	 l'un et l'autre 	 adjective 
 beißen 	 mordre 	 verb 
 beklagenswert ; kläglich 	 triste 	 adjective 
 bekommen 	 attraper 	 verb 
 bekommen 	 devenir 	 verb 
 bekommen 	 obtenir 	 verb 
 bekommen ; empfangen ; erhalten 	 recevoir 	 verb 
 benötigen ; brauchen ; fordern ; verlangen ; bedürfen 	 avoir besoin 	 verb 
 berechnen ; fakturieren 	 facturer 	 verb 
 bereit 	 prêt 	 adjective 
 bereits 	 déjà 	 adverb 
 berichten 	 signaler 	 verb 
 beschreiben 	 décrire 	 verb 
 beschuldigen 	 accuser 	 verb 
 beschädigen 	 endommager 	 verb 
 besiegen ; schlagen 	 vaincre 	 verb 
 besitzen ; eignen 	 avoir 	 verb 
 besondere 	 particulier 	 adjective 
 besonders ; zumal 	 particulièrement 	 adverb 
 besser 	 mieux 	 adjective 
 beste 	 meilleur 	 adjective 
 besuchen 	 visiter 	 verb 
 betiteln ; bezeichnen 	 intituler 	 verb 
 betrachten 	 considérer 	 verb 
 betrügen ; hereinlegen 	 attraper 	 verb 
 bewegen 	 bouger 	 verb 
 beweisen 	 prouver 	 verb 
 bewirken 	 pousser 	 verb 
 bewusst 	 conscient 	 adjective 
 bewältigen ; meistern ; schaffe 	 faire face 	 verb 
 bezahlen ; zahlen 	 payer 	 verb 
 beziffern ; nummerieren 	 compter 	 verb 
 billig 	 économique 	 adjective 
 bis 	 jusqu'à 	 conjunction 
 bisweilen ; manchmal 	 parfois 	 adverb 
 bitter ; herb 	 amer 	 adjective 
 blau 	 bleu 	 color 
 bleiben 	 rester 	 verb 
 braun 	 marron 	 color 
 brechen ; zerbrechen 	 rompre 	 verb 
 breit ; weit 	 large 	 adjective 
 bringen 	 apporter 	 verb 
 brüchig ; gebrechlich ; zerbrechlich 	 fragile 	 adjective 
 brüsk ; schroff 	 brusque 	 adjective 
 böse 	 misérable 	 adjective 
 chemisch 	 chimique 	 adjective 
 da ; dort 	 là 	 adverb 
 danken 	 remercier 	 verb 
 dann 	 alors 	 adverb 
 darstellen ; verkörpern ; vorstellen ; vertreten 	 représenter 	 verb 
 debattieren ; bereden ; besprechen ; diskutieren 	 discuter 	 verb 
 dennoch ; aber ; nichtsdestotrotz ; nichtsdestoweniger ; gleichwohl ; trotzdem 	 cependant 	 adverb 
 der ; die 	 la 	 article 
 derart ; derartig ; solch 	 tel 	 adverb 
 derb ; grob 	 grossier 	 adjective 
 derb ; rau ; roh 	 approximatif 	 adjective 
 derselbe 	 même 	 adjective 
 deutlich 	 distinctement 	 adverb 
 deutlich ; klar 	 clair 	 adjective 
 dich 	 te 	 pronoun 
 dicht 	 serré 	 adjective 
 dicht ; dick 	 dense 	 adjective 
 dick ; gras 	 gros 	 adjective 
 dick ; stark 	 épais 	 adjective 
 dienen 	 servir 	 verb 
 diese 	 ces 	 pronoun 
 diese 	 ces 	 pronoun 
 diese 	 cette 	 pronoun 
 direkt ; gerade 	 droit 	 adjective 
 direkt ; gerade ; geradewegs 	 directement 	 adverb 
 dose 	 boîte 	 object 
 drehen 	 tourner 	 verb 
 drei 	 trois 	 number 
 dreizehn 	 treize 	 number 
 dreißig 	 trente 	 number 
 dritte ; dritter 	 troisième 	 mathematics 
 drücken ; pressen 	 presser 	 verb 
 duften ; riechen 	 embaumer 	 verb 
 dumm 	 stupide 	 adjective 
 dunkel 	 foncé 	 adjective 
 durstig 	 assoiffé 	 adjective 
 dünn 	 maigre 	 adjective 
 eben 	 égal 	 adjective 
 eben ; flach 	 plan 	 adjective 
 echt ; wahr 	 vrai 	 adjective 
 ehe ; vor 	 avant 	 adverb 
 eigen 	 propre 	 adjective 
 ein ; beliebig 	 facultatif 	 adjective 
 ein ; eins 	 un 	 number 
 einfach 	 simple 	 adjective 
 einmal 	 autrefois 	 adverb 
 einsam 	 solitaire 	 adjective 
 einschließen 	 comprendre 	 verb 
 einschätzen ; schätzen 	 apprécier 	 verb 
 einseifen 	 savonner 	 verb 
 eintreten ; hineingehen ; hineinkommen 	 entrer 	 verb 
 einzeln ; einzelne ; einzig 	 seul 	 adjective 
 elegant 	 élégant 	 adjective 
 elektrisch ; elektrischer 	 électrique 	 adjective 
 elementar ; fundamental ; primär ; grundlegend ; basisch 	 fondamental 	 adjective 
 elf 	 onze 	 number 
 empfinden ; fühlen ; spüren 	 éprouver 	 verb 
 enden 	 terminer 	 verb 
 eng 	 étroit 	 adjective 
 entdecken 	 découvrir 	 verb 
 entdecken ; enthüllen ; finden 	 trouver 	 verb 
 entfernen ; beseitigen ; wegschaffen 	 supprimer 	 verb 
 entfernt ; fern ; weit 	 loin 	 adjective 
 entgegengesetzt ; gegenüberliegend 	 opposé 	 adjective 
 enthalten 	 rétention 	 verb 
 enthalten ; umfassen 	 comprendre 	 verb 
 enthüllen ; preisgeben 	 révéler 	 verb 
 entlang 	 le long de 	 adverb 
 entlassen ; hinauswerfen 	 licencier 	 verb 
 entscheiden ; bestimmen 	 décider 	 verb 
 entweder 	 soit 	 adverb 
 entwerfen 	 concevoir 	 verb 
 entwickeln 	 développer 	 verb 
 er 	 lui 	 pronoun 
 erfahren ; geschickt 	 expert 	 adjective 
 erfolgreich 	 fructueux 	 adjective 
 erforderlich ; notwendig ; nötig ; unerlässlich 	 nécessaire 	 adjective 
 erhöhen ; steigern 	 intensifier 	 verb 
 erinnern ; sich erinnern 	 rappeler 	 verb 
 erklären ; erläutern ; aufklären 	 expliquer 	 verb 
 erlauben ; gestatten ; gewähren ; zulassen ; ermöglichen 	 permettre 	 verb 
 erleiden ; erdulden 	 endurer 	 verb 
 erlernen ; lernen 	 étudier 	 verb 
 ermutigen 	 animer 	 verb 
 ermüdend ; langweilig 	 ennuyeux 	 adjective 
 ernst 	 grave 	 adjective 
 erreichen ; eintreffen 	 arriver 	 verb 
 erreichen ; erzielen 	 réaliser 	 verb 
 erschaffen ; erzeugen ; kreieren ; machen 	 faire 	 verb 
 ersetzen 	 remplacer 	 verb 
 erst ; zunächst ; erstens ; zuerst 	 d'abord 	 adverb 
 erwarten ; entgegensehen 	 attendre 	 verb 
 erwärmen ; anwärmen ; aufwärmen 	 chauffer 	 verb 
 erziehen ; aufziehen 	 élever 	 verb 
 erzürnt 	 fâché 	 adjective 
 es 	 ça 	 pronoun 
 essen 	 manger 	 verb 
 existieren ; bestehen 	 exister 	 verb 
 fallen ; stürzen 	 tomber 	 verb 
 falsch ; fehlerhaft 	 mal 	 adjective 
 falsch ; unrichtig ; inkorrekt 	 faux 	 adjective 
 fast 	 presque 	 adverb 
 fest 	 solide 	 adjective 
 fest ; hart 	 ferme 	 adjective 
 festgelegt ; festgesetzt 	 déterminé 	 adjective 
 fettig ; speckig 	 gros 	 adjective 
 feucht ; nass 	 mouillé 	 adjective 
 feuern ; schießen 	 tirer 	 verb 
